 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 49.52666  52.35404  3.5265 200   6.16  19.10  -5.00   0.60   0.00   0.00   0.00
 50.00885  53.64075  4.6492 149   6.67  11.60 -16.50   0.60   0.00   0.00   0.00
 50.03857  44.67226  4.5986 197   6.51  12.90  -8.50   1.20   0.00   0.00   0.00
 50.06931  45.35987  3.9292 166   5.58  12.20 -11.00   0.90   0.00   0.00   0.00
 50.60001  44.66347  4.5251 176   5.26  -0.90 -22.20   0.80   0.00   0.00   0.00
 50.60372  45.62558  3.5795 214   6.45 -13.60 -31.10   1.30   0.00   0.00   0.00
 51.18454  44.27919  4.8563 194   5.18  12.50  11.50   0.90   0.00   0.00   0.00
 51.33892  45.78440  3.3471 160   6.61  13.60  -7.50   0.80   0.00   0.00   0.00
 51.43469  45.22967  3.8962 194   5.24  33.50 -32.50   0.90   0.00   0.00   0.00
 51.59045  45.25250  3.8690 212   5.66   3.00 -16.80   0.70   0.00   0.00   0.00
 51.66560  44.33669  4.7837 216   5.74  12.60 -21.90   0.60   0.00   0.00   0.00
 51.67034  45.78206  3.3384 127   6.54  -9.10 -18.60   0.60   0.00   0.00   0.00
 50.08879  46.18979  3.1364 201   6.38  34.30 -43.30   0.90   0.00   0.00   0.00
 50.22922  46.49237  2.8190 211   5.71  44.90 -33.50   0.90   0.00   0.00   0.00
 50.67298  46.15115  3.0562 201   6.53  29.00 -24.80   0.90   1.97   2.30   1.14
 50.76339  47.51857  1.7306 209   5.14   4.70 -18.40   1.70   0.00   0.00   0.00
 50.88081  46.86950  2.3244 197   5.14   7.80 -42.60   0.80   0.00   0.00   0.00
 50.91797  47.95825  1.2857 215   5.38  24.30 -26.50   2.40  98.54   0.42   0.62
 50.96035  46.22624  2.9422 216   6.39  47.90 -44.80   1.50   0.00   0.00   0.00
 51.02723  46.28852  2.8729 148   5.54  25.30 -24.10   0.60  79.68   4.92   6.66
 51.21705  47.91513  1.2555  61   5.94  21.90 -26.80   1.00  99.52   0.10   0.13
 51.22964  47.41503  1.7398 172   5.97  23.00 -26.40   0.90  99.21   0.17   0.23
 51.37286  47.96731  1.1794 158   5.78  22.60 -26.80   0.90  99.60   0.09   0.11
 51.57654  46.50226  2.6203 206   6.21  14.80  -7.70   0.80   0.00   0.00   0.00
 51.63600  47.26644  1.8551  81   6.16  23.60 -27.90   0.70  98.43   0.32   0.43
